Date,Is returning customer,Gross sales,Discounts,Returns,Net sales,Shipping,Tax,Duties,Total sales,Orders,Customer count,Ordered quantity,Returned quantity,Net quantity,Units per transaction,Avg. order value,Cost of goods sold,Gross profit,Items,Avg. number of items
2024-01-01,FALSE,110,0,0,110,25.3,0,0,135.3,2,2,3,0,3,1.5,55,47.74,62.26,,
2024-01-01,TRUE,492.5,15.82,0,476.68,110.57,0,0,587.25,13,13,19,0,19,1.46,36.67,201.3,275.38,,
2024-01-02,FALSE,50,0,0,50,8.04,0,0,58.04,1,1,4,0,4,4,50,15.12,34.88,,
2024-01-02,TRUE,1178.5,87.58,0,1090.92,227.19,0,0,1318.11,24,20,51,0,51,2.13,45.46,360.48,730.44,,
2024-01-03,FALSE,75,7.5,0,67.5,16.47,0,0,83.97,138,138,142,0,142,1.03,0.49,24.6,42.9,,
2024-01-03,TRUE,209.5,16.97,0,192.53,55.85,0,0,248.38,7,5,13,1,12,1.86,27.5,59.04,133.49,,
2024-01-04,FALSE,130,2.65,0,127.35,24.96,0,0,152.31,3,3,6,0,6,2,42.45,35.67,91.68,,
2024-01-04,TRUE,335,28.39,0,306.61,92.56,0,0,399.17,10,8,18,0,18,1.8,30.66,90.37,216.24,,
2024-01-05,FALSE,181.5,0,0,181.5,17.11,0,0,198.61,2,2,7,0,7,3.5,90.75,65,116.5,,
2024-01-05,TRUE,336.3,20.3,0,316,92.04,0,0,408.04,6,5,16,0,16,2.67,52.67,135.65,180.35,,
2024-01-06,FALSE,94,3.6,0,90.4,25.24,0,0,115.64,3,3,3,0,3,1,30.13,34.74,55.66,,
2024-01-06,TRUE,201.5,4.7,0,196.8,41.13,0,0,237.93,4,4,11,0,11,2.75,49.2,131.47,65.33,,
2024-01-07,FALSE,157,6.6,0,150.4,34.5,0,0,184.9,3,3,4,0,4,1.33,50.13,48.79,101.61,,
2024-01-07,TRUE,291.5,19.97,0,271.53,75.67,0,0,347.2,8,8,16,0,16,2,33.94,98.71,172.82,,
2024-01-08,TRUE,284,24.14,0,259.86,68.09,0,0,327.95,9,7,16,0,16,1.78,28.87,221.7,38.16,,
2024-01-09,FALSE,148.5,14.85,0,133.65,16.94,0,0,150.59,2,2,11,0,11,5.5,66.83,47.53,86.12,,
2024-01-09,TRUE,671.25,45.62,0,625.63,182.96,0,0,808.59,21,21,38,0,38,1.81,29.79,181.32,444.31,,
2024-01-10,FALSE,208.5,12.4,12.5,183.6,39.9,0,0,223.5,4,4,10,0,10,2.5,49.03,58.68,124.92,,
2024-01-10,TRUE,513.3,46.22,30.52,436.56,103.42,0,0,539.98,14,13,25,0,25,1.79,33.36,136.68,299.88,,
2024-01-11,FALSE,278.5,2,0,276.5,53.32,0,0,329.82,14,14,19,0,19,1.36,19.75,74.82,201.68,,
2024-01-11,TRUE,275,22.92,0,252.08,58.85,0,0,310.93,7,7,13,0,13,1.86,36.01,90.87,161.21,,
2024-01-12,FALSE,73.5,3.9,0,69.6,16.39,0,0,85.99,3,3,6,0,6,2,23.2,22.22,47.38,,
2024-01-12,TRUE,231.5,29.14,0,202.36,64.26,0,0,266.62,10,9,13,0,13,1.3,20.24,75.27,127.09,,
2024-01-13,FALSE,106.5,0,0,106.5,16.04,0,0,122.54,4,2,4,0,4,1,26.63,14.49,92.01,,
2024-01-13,TRUE,496.5,31.6,0,464.9,90.88,0,0,555.78,10,10,23,0,23,2.3,46.49,128.82,336.08,,
2024-01-14,FALSE,515,10.3,0,504.7,29.68,0,0,534.38,17,3,23,0,23,1.35,29.69,35.21,469.49,,
2024-01-14,TRUE,157,6.25,0,150.75,38.03,0,0,188.78,4,4,12,0,12,3,37.69,30.99,119.76,,
2024-01-15,FALSE,117.5,4.4,0,113.1,24.38,0,0,137.48,3,3,7,0,7,2.33,37.7,49.42,63.68,,
2024-01-15,TRUE,265,15.07,0,249.93,59.44,0,0,309.37,6,6,11,0,11,1.83,41.66,162.6,87.33,,
2024-01-16,FALSE,12.5,1.25,0,11.25,9.65,0,0,20.9,1,1,1,0,1,1,11.25,3.97,7.28,,
2024-01-16,TRUE,539.5,31.67,0,507.83,77.27,0,0,585.1,8,8,20,0,20,2.5,63.48,93,414.83,,
2024-01-17,FALSE,264,51.3,0,212.7,34.34,0,0,247.04,5,5,13,0,13,2.6,42.54,72.66,140.04,,
2024-01-17,TRUE,563,20.2,0,542.8,108,0,0,650.8,14,14,33,0,33,2.36,38.77,154.99,387.81,,
2024-01-18,FALSE,406.4,9,0,397.4,41.05,3.65,0,442.1,5,5,18,0,18,3.6,79.48,123.98,273.42,,
2024-01-18,TRUE,685.5,39.77,0,645.73,91.47,0,0,737.2,10,8,32,0,32,3.2,64.57,217.31,428.42,,
2024-01-19,FALSE,62.5,6.25,0,56.25,8.44,0,0,64.69,1,1,5,0,5,5,56.25,19.36,36.89,,
2024-01-19,TRUE,345.3,6.25,0,339.05,75.58,0,0,414.63,8,8,14,0,14,1.75,42.38,100.67,238.38,,
2024-01-20,FALSE,348,19.6,0,328.4,29.39,0,0,357.79,3,3,11,0,11,3.67,109.47,90.76,237.64,,
2024-01-20,TRUE,127,0,0,127,32.64,0,0,159.64,3,3,6,0,6,2,42.33,60.08,66.92,,
2024-01-21,FALSE,163,1.87,0,161.13,41.78,0,0,202.91,4,4,8,0,8,2,40.28,35.84,125.29,,
2024-01-21,TRUE,82,5,0,77,27.25,0,0,104.25,3,3,6,0,6,2,25.67,24.14,52.86,,
2024-01-22,FALSE,246.5,24.65,0,221.85,32.56,0,0,254.41,4,4,10,0,10,2.5,55.46,101.46,120.39,,
2024-01-22,TRUE,360,5.8,0,354.2,48.37,2.59,0,405.16,6,6,13,0,13,2.17,59.03,98.09,256.11,,
2024-01-23,FALSE,111,5.95,0,105.05,16.51,0,0,121.56,2,2,8,0,8,4,52.53,24.49,80.56,,
2024-01-23,TRUE,1031,26.4,0,1004.6,169.77,4.91,0,1179.28,15,14,41,0,41,2.73,66.97,280.16,724.44,,
2024-01-24,FALSE,342,23.4,0,318.6,49.3,0,0,367.9,5,5,10,0,10,2,63.72,124.54,194.06,,
